Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,3,female,35.0,1,1,20.25,S
1,2,female,28.0,0,0,12.65,S
0,3,female,41.0,0,5,39.6875,S
0,2,male,25.0,1,0,26.0,S
1,3,female,28.0,1,0,15.5,Q
0,3,male,48.0,0,0,7.8542,S
1,1,female,22.0,0,1,55.0,S
1,3,male,32.0,0,0,56.4958,S
0,3,female,28.0,0,0,8.05,S
1,1,male,36.0,1,2,120.0,S
1,2,female,28.0,0,0,13.0,S
1,3,female,24.0,1,0,15.85,S
1,1,female,18.0,1,0,227.525,C
0,3,male,40.0,0,0,7.8958,S
1,2,female,45.0,1,1,26.25,S
1,3,male,28.0,0,0,56.4958,S
0,3,male,28.0,0,0,8.4583,Q
0,3,male,20.0,0,0,8.6625,S
0,1,male,38.0,0,0,0.0,S
0,3,male,33.0,0,0,8.6542,S
0,1,male,58.0,0,0,29.7,C
0,3,male,28.0,0,0,7.225,C
1,3,male,25.0,1,0,7.775,S
0,2,male,28.0,0,0,0.0,S
0,2,male,51.0,0,0,12.525,S
0,3,female,21.0,0,0,7.75,Q
0,3,male,21.0,0,0,8.05,S
0,3,male,25.0,0,0,7.05,S
0,3,female,20.0,1,0,9.825,S
0,1,male,64.0,0,0,26.0,S
0,3,male,21.0,0,0,8.05,S
0,3,male,28.0,1,0,7.75,Q
0,3,female,40.0,1,0,9.475,S
0,2,male,44.0,1,0,26.0,S
0,2,male,23.0,0,0,13.0,S
0,2,male,28.0,0,0,13.0,S
1,1,female,33.0,1,0,90.0,Q
0,3,male,28.0,0,0,8.05,S
0,3,female,18.0,0,0,6.75,Q
1,2,female,28.0,0,0,33.0,S
0,3,female,24.0,0,0,8.85,S
0,2,male,30.0,0,0,13.0,S
1,2,female,42.0,1,0,26.0,S
1,1,female,50.0,0,1,247.5208,C
0,3,male,28.0,0,0,8.6625,S
0,1,male,45.0,1,0,83.475,S
1,3,female,30.0,0,0,12.475,S
0,3,female,37.0,0,0,9.5875,S
0,3,male,29.0,0,0,7.775,S
1,2,female,17.0,0,0,12.0,C
0,2,male,26.0,0,0,10.5,S
0,3,female,45.0,0,1,14.4542,C
1,2,male,62.0,0,0,10.5,S
0,3,female,28.0,0,0,7.75,Q
1,3,female,0.75,2,1,19.2583,C
0,3,male,28.0,0,0,7.8958,S
1,3,male,20.0,0,0,7.2292,C
1,1,female,54.0,1,0,59.4,C
1,3,female,33.0,3,0,15.85,S
0,3,male,15.0,1,1,7.2292,C
0,3,male,25.0,0,0,7.65,S
0,3,male,51.0,0,0,7.0542,S
0,3,male,22.0,0,0,7.7958,S
0,3,male,24.0,0,0,7.8958,S
0,3,male,17.0,0,0,8.6625,S
0,3,male,51.0,0,0,8.05,S
1,1,female,38.0,1,0,71.2833,C
0,3,male,28.0,0,0,7.25,S
0,3,male,28.0,0,0,14.5,S
1,3,female,13.0,0,0,7.2292,C
0,3,male,28.0,0,0,8.05,S
1,1,female,31.0,1,0,113.275,C
0,3,male,23.0,0,0,7.8542,S
0,3,male,19.0,0,0,8.05,S
